ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1978-04-01,52665.314362328034,35750.160856251205,72680.1735400288,52665.314362328034,52665.314362328034,1798.5492753753017,1798.5492753753017,1798.5492753753017,1798.5492753753017,1798.5492753753017,1798.5492753753017,0.0,0.0,0.0,54463.86363770333
1978-07-01,53906.80992464334,36608.31988337446,74249.37198025841,53906.80992464334,53906.80992464334,1039.8746902626613,1039.8746902626613,1039.8746902626613,1039.8746902626613,1039.8746902626613,1039.8746902626613,0.0,0.0,0.0,54946.684614906
1978-10-01,55161.94829533573,36837.58233799102,76744.76409745215,55161.94829533573,55161.94829533573,2494.8880845666763,2494.8880845666763,2494.8880845666763,2494.8880845666763,2494.8880845666763,2494.8880845666763,0.0,0.0,0.0,57656.83637990241
1979-01-01,56417.086666028124,38227.04241630793,77299.62868052583,56417.086666028124,56417.086666028124,1022.5673303084656,1022.5673303084656,1022.5673303084656,1022.5673303084656,1022.5673303084656,1022.5673303084656,0.0,0.0,0.0,57439.65399633659
1979-04-01,57644.939419966344,41684.37995991731,78460.99706074265,57644.939419966344,57644.939419966344,2464.4124082499197,2464.4124082499197,2464.4124082499197,2464.4124082499197,2464.4124082499197,2464.4124082499197,0.0,0.0,0.0,60109.35182821626
1979-07-01,58886.43498228165,41575.64529437543,78914.93545362313,58886.43498228165,58886.43498228165,1497.9513211206195,1497.9513211206195,1497.9513211206195,1497.9513211206195,1497.9513211206195,1497.9513211206195,0.0,0.0,0.0,60384.38630340227
1979-10-01,60141.57335297404,41580.4520794328,81284.74487148593,60141.57335297404,60141.57335297404,2033.7413441779975,2033.7413441779975,2033.7413441779975,2033.7413441779975,2033.7413441779975,2033.7413441779975,0.0,0.0,0.0,62175.31469715204
1980-01-01,61397.54517701935,42841.101684221525,79442.7881900154,61397.54517701935,61397.54517701935,154.16566272131925,154.16566272131925,154.16566272131925,154.16566272131925,154.16566272131925,154.16566272131925,0.0,0.0,0.0,61551.71083974066
1980-04-01,62639.865133412,45012.99872409826,82563.06445315866,62639.865133412,62639.865133412,426.1587634539806,426.1587634539806,426.1587634539806,426.1587634539806,426.1587634539806,426.1587634539806,0.0,0.0,0.0,63066.02389686598
1980-07-01,63882.185089804654,45196.426418053175,84248.01305409026,63882.185089804654,63882.185089804654,134.0058832095741,134.0058832095741,134.0058832095741,134.0058832095741,134.0058832095741,134.0058832095741,0.0,0.0,0.0,64016.19097301423
1980-10-01,65138.15691384996,49688.22038538013,87095.2395760714,65138.15691384996,65138.15691384996,3407.6351032236807,3407.6351032236807,3407.6351032236807,3407.6351032236807,3407.6351032236807,3407.6351032236807,0.0,0.0,0.0,68545.79201707365
1981-01-01,66394.12873789527,49587.700958033245,89505.36455062476,66394.12873789527,66394.12873789527,2739.156780846262,2739.156780846262,2739.156780846262,2739.156780846262,2739.156780846262,2739.156780846262,0.0,0.0,0.0,69133.28551874153
1981-04-01,67622.79682663525,48725.637372575955,87859.58500756277,67622.79682663525,67622.79682663525,1118.871316198125,1118.871316198125,1118.871316198125,1118.871316198125,1118.871316198125,1118.871316198125,0.0,0.0,0.0,68741.66814283338
1981-07-01,68865.11678302792,50290.32310882496,89963.37106199433,68865.11678302792,68865.11678302792,585.0853769158018,585.0853769158018,585.0853769158018,585.0853769158018,585.0853769158018,585.0853769158018,0.0,0.0,0.0,69450.20215994371
1981-10-01,70121.10156511072,53685.297097530776,92323.00486075292,70121.10156511072,70121.10156511072,2952.9867081648904,2952.9867081648904,2952.9867081648904,2952.9867081648904,2952.9867081648904,2952.9867081648904,0.0,0.0,0.0,73074.0882732756
1982-01-01,71377.08634719352,54718.29818518825,91616.83301154111,71377.08634719352,71377.08634719352,1884.5548749997574,1884.5548749997574,1884.5548749997574,1884.5548749997574,1884.5548749997574,1884.5548749997574,0.0,0.0,0.0,73261.64122219327
1982-04-01,72605.76711227451,55040.602606199245,93452.04293001376,72605.76711227451,72605.76711227451,1798.5492753750023,1798.5492753750023,1798.5492753750023,1798.5492753750023,1798.5492753750023,1798.5492753750023,0.0,0.0,0.0,74404.31638764951
1982-07-01,73848.09988585641,57209.884466689524,94075.76042754276,73848.09988585641,73848.09988585641,1039.874690261505,1039.874690261505,1039.874690261505,1039.874690261505,1039.874690261505,1039.874690261505,0.0,0.0,0.0,74887.97457611792
1982-10-01,75104.08466793921,57183.03658206993,98712.73783498819,75104.08466793921,75104.08466793921,2494.888084565986,2494.888084565986,2494.888084565986,2494.888084565986,2494.888084565986,2494.888084565986,0.0,0.0,0.0,77598.9727525052
1983-01-01,76360.06945002203,57110.44578989455,96982.5870480908,76360.06945002203,76360.06945002203,1022.5673303084681,1022.5673303084681,1022.5673303084681,1022.5673303084681,1022.5673303084681,1022.5673303084681,0.0,0.0,0.0,77382.63678033049
1983-04-01,77595.64067781823,59618.65372684612,98526.70788093629,77595.64067781823,77595.64067781823,2464.412408250465,2464.412408250465,2464.412408250465,2464.412408250465,2464.412408250465,2464.412408250465,0.0,0.0,0.0,80060.0530860687
1983-07-01,78844.94047481219,60944.66944211836,100259.6201033055,78844.94047481219,78844.94047481219,1497.95132112036,1497.95132112036,1497.95132112036,1497.95132112036,1497.95132112036,1497.95132112036,0.0,0.0,0.0,80342.89179593255
1983-10-01,80107.96884100387,63011.411934224576,99766.79200920773,80107.96884100387,80107.96884100387,2033.7413441784167,2033.7413441784167,2033.7413441784167,2033.7413441784167,2033.7413441784167,2033.7413441784167,0.0,0.0,0.0,82141.71018518228
1984-01-01,81370.99720719557,64433.86589756629,101706.69239533677,81370.99720719557,81370.99720719557,154.16566272052572,154.16566272052572,154.16566272052572,154.16566272052572,154.16566272052572,154.16566272052572,0.0,0.0,0.0,81525.1628699161
